Date,diff,height,value,Close
2018-11-28,9928413637.10395,295986,4166752.6294284,21.73
2018-11-28,9928413637.10395,295987,4166557.76870977,21.73
2018-11-28,9928413637.10395,295988,4166666.63730679,21.73
2018-11-28,9928413637.10395,295989,4166362.89431803,21.73
2018-11-28,9928413637.10395,295990,4166156.76203618,21.73
2018-11-28,9928413637.10395,295991,4166380.67142188,21.73
2018-11-28,9928413637.10395,295992,4166391.68150893,21.73
2018-11-28,9928413637.10395,295993,4166095.65118777,21.73
2018-11-28,9928413637.10395,295994,4166111.4668206,21.73
2018-11-28,9928413637.10395,295995,4165816.5037996,21.73
2018-11-28,9928413637.10395,295996,4165842.25590203,21.73
2018-11-28,9928413637.10395,295997,4167409.13137137,21.73
2018-11-28,9928413637.10395,295998,4168986.7624051,21.73
2018-11-28,9928413637.10395,295999,4169718.06591618,21.73
2018-11-28,9928413637.10395,296000,4169523.50946135,21.73
2018-11-28,9928413637.10395,296001,4169841.49683276,21.73
2018-11-28,9928413637.10395,296002,4169837.15078932,21.73
2018-11-28,9928413637.10395,296003,4169634.18514705,21.73
2018-11-28,9928413637.10395,296004,4169954.77581662,21.73
2018-11-28,9928413637.10395,296005,4169646.87429998,21.73
2018-11-28,9928413637.10395,296006,4169663.89895864,21.73
2018-11-28,9928413637.10395,296007,4169249.98567684,21.73
2018-11-28,9928413637.10395,296008,4169156.30882363,21.73
2018-11-28,9928413637.10395,296009,4168837.92712279,21.73
2018-11-28,9928413637.10395,296010,4169055.93646464,21.73
2018-11-28,9928413637.10395,296011,4168751.98661385,21.73
2018-11-28,9928413637.10395,296012,4168660.95744608,21.73
2018-11-28,9928413637.10395,296013,4168772.65032291,21.73
